"nationality","response","year"
"Japan","non-atheist","2005"
"Japan","atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","atheist","2005"
"Japan","atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","atheist","2005"
"Japan","non-atheist","2005"
"Japan","atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","atheist","2005"
"Japan","atheist","2005"
"Japan","atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","atheist","2005"
"Japan","non-atheist","2005"
"Japan","atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","atheist","2005"
"Japan","non-atheist","2005"
"Japan","atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","atheist","2005"
"Japan","non-atheist","2005"
"Japan","atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","atheist","2005"
"Japan","atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","atheist","2005"
"Japan","atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","atheist","2005"
"Japan","atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","atheist","2005"
"Japan","atheist","2005"
"Japan","atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","atheist","2005"
"Japan","atheist","2005"
"Japan","atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","atheist","2005"
"Japan","atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","non-atheist","2005"
"Japan","atheist","2005"
