"Afghanistan ",1031,83.00%,15.00%,0.00%,2.00%
"Argentina ",1002,72.00%,19.00%,7.00%,1.00%
"Armenia ",500,92.00%,3.00%,2.00%,2.00%
"Australia ",1040,37.00%,48.00%,10.00%,5.00%
"Austria ",1003,42.00%,43.00%,10.00%,5.00%
"Azerbaijan ",510,44.00%,51.00%,0.00%,5.00%
"Belgium ",528,59.00%,26.00%,8.00%,7.00%
"Bosnia and Herzegovina ",1000,67.00%,25.00%,4.00%,4.00%
"Brazil ",2002,85.00%,13.00%,1.00%,1.00%
"Bulgaria ",997,59.00%,28.00%,2.00%,12.00%
"Cameroon ",504,82.00%,14.00%,3.00%,1.00%
"Canada ",1003,46.00%,40.00%,9.00%,5.00%
"China ",500,14.00%,30.00%,47.00%,9.00%
"Colombia ",606,83.00%,12.00%,3.00%,2.00%
"Czech Republic ",1000,20.00%,48.00%,30.00%,2.00%
"Ecuador ",400,70.00%,27.00%,2.00%,2.00%
"Fiji ",1020,92.00%,5.00%,1.00%,2.00%
"Finland ",984,53.00%,38.00%,6.00%,3.00%
"France ",1671,37.00%,34.00%,29.00%,1.00%
"Georgia ",1000,84.00%,12.00%,1.00%,3.00%
"Germany ",502,51.00%,33.00%,15.00%,1.00%
"Ghana ",1505,96.00%,2.00%,0.00%,1.00%
"Hong Kong ",500,38.00%,51.00%,9.00%,2.00%
"Iceland ",852,57.00%,31.00%,10.00%,2.00%
"India ",1091,81.00%,13.00%,3.00%,3.00%
"Iraq ",1000,88.00%,9.00%,0.00%,3.00%
"Ireland ",1001,47.00%,44.00%,10.00%,0.00%
"Italy ",987,73.00%,15.00%,8.00%,4.00%
"Japan ",1200,16.00%,31.00%,31.00%,23.00%
"Kenya ",1000,88.00%,9.00%,2.00%,1.00%
"Korea, Rep (South) ",1524,52.00%,31.00%,15.00%,2.00%
"Lebanon ",500,64.00%,33.00%,2.00%,2.00%
"Lithuania ",1025,69.00%,22.00%,1.00%,7.00%
"Macedonia ",1209,90.00%,8.00%,1.00%,1.00%
"Malaysia ",520,81.00%,13.00%,0.00%,6.00%
"Moldova ",1086,83.00%,5.00%,5.00%,7.00%
"Netherlands ",505,43.00%,42.00%,14.00%,2.00%
"Nigeria ",1049,93.00%,4.00%,1.00%,2.00%
"Pakistan ",2705,84.00%,8.00%,2.00%,6.00%
"Palestinian territories (West Bank and Gaza) ",626,65.00%,29.00%,4.00%,2.00%
"Peru ",1207,86.00%,8.00%,3.00%,3.00%
"Poland ",520,81.00%,9.00%,5.00%,6.00%
"Romania ",1050,89.00%,6.00%,1.00%,3.00%
"Russian Federation ",1000,55.00%,26.00%,6.00%,13.00%
"Saudi Arabia ",502,75.00%,19.00%,5.00%,1.00%
"Serbia ",1037,77.00%,16.00%,3.00%,4.00%
"South Africa ",200,64.00%,28.00%,4.00%,5.00%
"South Sudan ",1020,79.00%,10.00%,6.00%,5.00%
"Spain ",1146,52.00%,38.00%,9.00%,1.00%
"Sweden ",501,29.00%,50.00%,8.00%,12.00%
"Switzerland ",507,50.00%,38.00%,9.00%,4.00%
"Tunisia ",503,75.00%,22.00%,0.00%,2.00%
"Turkey ",1031,23.00%,73.00%,2.00%,2.00%
"Ukraine ",1013,71.00%,20.00%,3.00%,6.00%
"United States ",1002,60.00%,30.00%,5.00%,5.00%
"Uzbekistan ",500,79.00%,16.00%,2.00%,3.00%
"Vietnam ",500,30.00%,65.00%,0.00%,5.00%
