team,runs,at_bats,hits,homeruns,bat_avg,strikeouts,walks,stolen_bases,on_base,slugging,ob_slg
NY Yankees,915,5660,1604,244,0.28,1014,663,111,0.36,0.48,0.84
LA Angels,883,5622,1604,173,0.29,1054,547,148,0.35,0.44,0.79
Boston,872,5543,1495,212,0.27,1120,659,126,0.35,0.45,0.81
Philadelphia,820,5578,1439,224,0.26,1155,589,119,0.33,0.45,0.78
Minnesota,817,5608,1539,172,0.27,1021,585,85,0.35,0.43,0.77
Colorado,804,5398,1408,190,0.26,1277,660,106,0.34,0.44,0.78
Tampa Bay,803,5462,1434,199,0.26,1229,642,194,0.34,0.44,0.78
Toronto,798,5696,1516,209,0.27,1028,548,73,0.33,0.44,0.77
Milwaukee,785,5510,1447,182,0.26,1231,610,68,0.34,0.43,0.77
Texas,784,5526,1436,224,0.26,1253,472,149,0.32,0.45,0.76
LA Dodgers,780,5592,1511,145,0.27,1068,607,116,0.35,0.41,0.76
Cleveland,773,5568,1468,161,0.26,1211,582,84,0.34,0.42,0.76
Florida,772,5572,1493,159,0.27,1226,568,75,0.34,0.42,0.76
Oakland,759,5584,1464,135,0.26,1046,527,133,0.33,0.4,0.73
Detroit,743,5540,1443,183,0.26,1114,540,72,0.33,0.42,0.75
Baltimore,741,5618,1508,160,0.27,1013,517,76,0.33,0.42,0.75
Atlanta,735,5539,1459,149,0.26,1064,602,58,0.34,0.41,0.74
St. Louis,730,5465,1436,160,0.26,1041,528,75,0.33,0.42,0.75
Chicago Sox,724,5463,1410,184,0.26,1022,534,113,0.33,0.41,0.74
Arizona,720,5565,1408,173,0.25,1298,571,102,0.32,0.42,0.74
Washington,710,5493,1416,156,0.26,1208,617,73,0.34,0.41,0.74
Chicago Cubs,707,5486,1398,161,0.26,1185,592,56,0.33,0.41,0.74
Kansas City,686,5532,1432,144,0.26,1091,457,88,0.32,0.41,0.72
Cincinnati,673,5462,1349,158,0.25,1129,531,96,0.32,0.39,0.71
NY Mets,671,5453,1472,95,0.27,928,526,122,0.34,0.39,0.73
San Francisco,657,5493,1411,122,0.26,1158,392,78,0.31,0.39,0.7
Houston,643,5436,1415,142,0.26,990,448,113,0.32,0.4,0.72
Seattle,640,5543,1430,160,0.26,1093,421,89,0.31,0.4,0.72
San Diego,638,5425,1315,141,0.24,1182,586,82,0.32,0.38,0.7
Pittsburgh,636,5417,1364,125,0.25,1142,499,90,0.32,0.39,0.71
