"team","runs","at_bats","hits","homeruns","bat_avg","strikeouts","stolen_bases","wins","new_onbase","new_slug","new_obs"
"Texas Rangers",855,5659,1599,210,0.283,930,143,96,0.34,0.46,0.8
"Boston Red Sox",875,5710,1600,203,0.28,1108,102,90,0.349,0.461,0.81
"Detroit Tigers",787,5563,1540,169,0.277,1143,49,95,0.34,0.434,0.773
"Kansas City Royals",730,5672,1560,129,0.275,1006,153,71,0.329,0.415,0.744
"St. Louis Cardinals",762,5532,1513,162,0.273,978,57,90,0.341,0.425,0.766
"New York Mets",718,5600,1477,108,0.264,1085,130,77,0.335,0.391,0.725
"New York Yankees",867,5518,1452,222,0.263,1138,147,97,0.343,0.444,0.788
"Milwaukee Brewers",721,5447,1422,185,0.261,1083,94,96,0.325,0.425,0.75
"Colorado Rockies",735,5544,1429,163,0.258,1201,118,73,0.329,0.41,0.739
"Houston Astros",615,5598,1442,95,0.258,1164,118,56,0.311,0.374,0.684
"Baltimore Orioles",708,5585,1434,191,0.257,1120,81,69,0.316,0.413,0.729
"Los Angeles Dodgers",644,5436,1395,117,0.257,1087,126,82,0.322,0.375,0.697
"Chicago Cubs",654,5549,1423,148,0.256,1202,69,71,0.314,0.401,0.715
"Cincinnati Reds",735,5612,1438,183,0.256,1250,97,79,0.326,0.408,0.734
"Los Angeles Angels",667,5513,1394,155,0.253,1086,135,86,0.313,0.402,0.714
"Philadelphia Phillies",713,5579,1409,153,0.253,1024,96,102,0.323,0.395,0.717
"Chicago White Sox",654,5502,1387,154,0.252,989,81,79,0.319,0.388,0.706
"Cleveland Indians",704,5509,1380,154,0.25,1269,89,80,0.317,0.396,0.714
"Arizona Diamondbacks",731,5421,1357,172,0.25,1249,133,94,0.322,0.413,0.736
"Toronto Blue Jays",743,5559,1384,186,0.249,1184,131,81,0.317,0.413,0.73
"Minnesota Twins",619,5487,1357,103,0.247,1048,92,63,0.306,0.36,0.666
"Florida Marlins",625,5508,1358,149,0.247,1244,95,72,0.318,0.388,0.706
"Pittsburgh Pirates",610,5421,1325,107,0.244,1308,108,72,0.309,0.368,0.676
"Oakland Athletics",645,5452,1330,114,0.244,1094,117,74,0.311,0.369,0.68
"Tampa Bay Rays",707,5436,1324,172,0.244,1193,155,91,0.322,0.402,0.724
"Atlanta Braves",641,5528,1345,173,0.243,1260,77,89,0.308,0.387,0.695
"Washington Nationals",624,5441,1319,154,0.242,1323,106,80,0.309,0.383,0.691
"San Francisco Giants",570,5486,1327,121,0.242,1122,85,86,0.303,0.368,0.671
"San Diego Padres",593,5417,1284,91,0.237,1320,170,71,0.305,0.349,0.653
"Seattle Mariners",556,5421,1263,109,0.233,1280,125,67,0.292,0.348,0.64
