Timestamp,"On a scale of 1 (very easy) to 5 (very difficult), how would you rate the difficulty of this lab?",What is wrong with the following piece of code?,"What is wrong with the following piece of code? Note that the objective is to create a new data set that includes only people who are exactly 50 years old, and all columns of the original data set.",In the previous lab you should have received a different version of the lab. How would you rate the difficulty of reading and understanding the code in this lab compared to the previous lab.,Rewrite the following one-line command as two lines with one function in each.,rewrite_score,"In the ""on your own"" part, how often did you (or your team) make a typographical error when typing commands in R?","Look back at your lab handout, is the R code in single green color or in multiple colors?",Enter your unique identifier from last week.
9/6/12 6:44,3,30 should not be in quotation marks., = should instead be ==.,Reading and understanding the code in this lab was more difficult.,"table < - table(cdc$gender, cdc$smoke100)
mosaicplot(table)",1,Occasionally,code in single green color,9
9/6/12 6:45,2,30 should not be in quotation marks., = should instead be ==.,Reading and understanding the code in this lab was more difficult.,"smoke_and_gender <- subset(cdc$gender, cdc$smoke100)
mosaicplot(table(smoke_and_gender))",0,Occasionally,code in single green color,don't remember
9/6/12 6:46,2,30 should not be in quotation marks., = should instead be ==.,Reading and understanding the code in this lab was more difficult.,"gender_and_smoke <- table(cdc$gender, cdc$smoke)
mosaicplot(gender_and_smoke)",1,Occasionally,code in multiple colors,Okie92
9/6/12 6:46,3,30 should not be in quotation marks.,The first argument cdc should instead be cdc$age.,Reading and understanding the code in this lab was more difficult.,"I don't know, sorry : /",0,Occasionally,code in single green color,BlueDevilPres
9/6/12 6:47,1,30 should not be in quotation marks., = should instead be ==.,Reading and understanding the code in this lab was easier.,"ben <- table(cdc$gender, cdc$smoke100)
mosaicplot(ben)",1,Rarely/Never,code in multiple colors,don't remember
9/6/12 6:47,3,30 should not be in quotation marks., = should instead be ==.,Reading and understanding the code in this lab was more difficult.,"mosaicplot(table(cdc$gender)
mosaicplot(table(cdc$smoke100)",0,Occasionally,code in multiple colors,2679
9/6/12 6:47,3,f should not be in quotation marks., = should instead be ==.,Reading and understanding the code in this lab was the same as the last lab.,"gender <- table(cdc$gender, cdc$smoke)
mosaicplot(gender)",1,Occasionally,code in single green color,jb11596
9/6/12 6:47,4,f should not be in quotation marks.,The first argument cdc should instead be cdc$age.,Reading and understanding the code in this lab was the same as the last lab.,"newTab <- table(cdc$gender,cdc$smoke100)
mosaicplot(newTab)",0,Frequently,code in single green color,matto524
9/6/12 6:48,3,30 should not be in quotation marks., = should instead be ==.,Reading and understanding the code in this lab was the same as the last lab.,"mosaicplot(table(cdc$gender))
mosaicplot(table(cdc$smoke100))",0,Occasionally,code in single green color,3hahaha
9/6/12 6:48,3,f should not be in quotation marks., = should instead be ==.,Reading and understanding the code in this lab was more difficult.,"gensmoke = (table(cdc$gender, cdc$smoke100))
mosaicplot(gensmoke)",1,Occasionally,code in single green color,don't remember 
