"KOMMNR","KOMMNAVN","KRETSNR","KRETSNAVN","PARTIKODE","VALGSTEMMER","FORHSTEMMER","SUM"
"0101","Halden","0000",,"A",3836,643,4479
"0101","Halden","0000",,"SV",465,70,535
"0101","Halden","0000",,"RØDT",148,27,175
"0101","Halden","0000",,"SP",583,51,634
"0101","Halden","0000",,"KRF",550,110,660
"0101","Halden","0000",,"V",697,108,805
"0101","Halden","0000",,"H",4339,520,4859
"0101","Halden","0000",,"FRP",979,206,1185
"0101","Halden","0000",,"DEMN",28,2,30
"0101","Halden","0000",,"MDG",346,47,393
"0101","Halden","0000",,"PP",145,46,191
"0101","Halden","0000",,"VV",161,18,179
"0104","Moss","0000",,"A",4089,1102,5191
"0104","Moss","0000",,"SV",417,107,524
"0104","Moss","0000",,"RØDT",413,83,496
"0104","Moss","0000",,"KRF",316,68,384
"0104","Moss","0000",,"V",561,84,645
"0104","Moss","0000",,"H",4573,962,5535
"0104","Moss","0000",,"FRP",1426,358,1784
"0104","Moss","0000",,"MDG",66,24,90
"0104","Moss","0000",,"PP",160,44,204
"0105","Sarpsborg","0000",,"A",9628,1493,11121
"0105","Sarpsborg","0000",,"SV",382,106,488
"0105","Sarpsborg","0000",,"RØDT",96,11,107
"0105","Sarpsborg","0000",,"SP",691,57,748
"0105","Sarpsborg","0000",,"KRF",1150,196,1346
"0105","Sarpsborg","0000",,"V",537,88,625
"0105","Sarpsborg","0000",,"H",4193,576,4769
"0105","Sarpsborg","0000",,"FRP",2794,436,3230
"0105","Sarpsborg","0000",,"DEMN",48,4,52
"0105","Sarpsborg","0000",,"KSP",43,6,49
"0105","Sarpsborg","0000",,"PP",478,96,574
"0106","Fredrikstad","0000",,"A",14951,2693,17644
"0106","Fredrikstad","0000",,"SV",868,212,1080
"0106","Fredrikstad","0000",,"RØDT",192,44,236
"0106","Fredrikstad","0000",,"SP",608,59,667
"0106","Fredrikstad","0000",,"KRF",1274,252,1526
"0106","Fredrikstad","0000",,"V",875,176,1051
"0106","Fredrikstad","0000",,"H",6111,1057,7168
"0106","Fredrikstad","0000",,"FRP",4148,824,4972
"0106","Fredrikstad","0000",,"KSP",48,8,56
"0106","Fredrikstad","0000",,"KYST",67,4,71
"0106","Fredrikstad","0000",,"PP",556,108,664
"0106","Fredrikstad","0000",,"BYMILJØ",465,113,578
"0106","Fredrikstad","0000",,"FS",124,15,139
"0111","Hvaler","0000",,"A",543,133,676
"0111","Hvaler","0000",,"SV",125,36,161
"0111","Hvaler","0000",,"SP",61,19,80
"0111","Hvaler","0000",,"V",103,19,122
"0111","Hvaler","0000",,"H",467,125,592
"0111","Hvaler","0000",,"FRP",619,151,770
"0118","Aremark","0000",,"A",171,32,203
"0118","Aremark","0000",,"SP",252,20,272
"0118","Aremark","0000",,"KRF",96,23,119
"0118","Aremark","0000",,"V",72,8,80
"0118","Aremark","0000",,"H",94,15,109
"0119","Marker","0000",,"A",737,147,884
"0119","Marker","0000",,"SP",367,55,422
"0119","Marker","0000",,"KRF",213,30,243
"0119","Marker","0000",,"H",231,23,254
"0119","Marker","0000",,"FRP",64,15,79
"0121","Rømskog","0000",,"A",100,20,120
"0121","Rømskog","0000",,"SP",105,33,138
"0121","Rømskog","0000",,"KRF",120,16,136
"0121","Rømskog","0000",,"FRP",27,11,38
"0122","Trøgstad","0000",,"A",522,115,637
"0122","Trøgstad","0000",,"SP",753,122,875
"0122","Trøgstad","0000",,"KRF",96,46,142
"0122","Trøgstad","0000",,"V",57,13,70
"0122","Trøgstad","0000",,"H",322,62,384
"0122","Trøgstad","0000",,"FRP",295,59,354
"0123","Spydeberg","0000",,"A",546,82,628
"0123","Spydeberg","0000",,"SV",59,14,73
"0123","Spydeberg","0000",,"SP",425,62,487
"0123","Spydeberg","0000",,"KRF",224,65,289
"0123","Spydeberg","0000",,"V",147,15,162
"0123","Spydeberg","0000",,"H",508,73,581
"0123","Spydeberg","0000",,"FRP",311,47,358
"0124","Askim","0000",,"A",1887,513,2400
"0124","Askim","0000",,"SV",159,44,203
"0124","Askim","0000",,"SP",234,42,276
"0124","Askim","0000",,"KRF",310,92,402
"0124","Askim","0000",,"V",181,41,222
"0124","Askim","0000",,"H",1759,322,2081
"0124","Askim","0000",,"FRP",570,186,756
"0124","Askim","0000",,"ASKIMP",246,48,294
"0125","Eidsberg","0000",,"A",819,197,1016
