"county","total_votes_cast"
"Åfjord",1710
"Agdenes",950
"Ål",2411
"Ålesund",20464
"Alstahaug",3361
"Alta",8341
"Alvdal",1268
"Åmli",997
"Åmot",2033
"Andebu",2534
"Andøy",2503
"Årdal",2830
"Aremark",783
"Arendal",19879
"Ås",8063
"Åseral",456
"Asker",28696
"Askim",6634
"Askøy",12417
"Askvoll",1574
"Åsnes",3531
"Audnedal",907
"Aukra",1586
"Aure",1706
"Aurland",928
"Aurskog-Høland",7206
"Austevoll",2567
"Austrheim",1414
"Averøy",2674
"Bærum",59097
"Balestrand",737
"Ballangen",1312
"Balsfjord",2753
"Bamble",6712
"Bardu",1980
"Båtsfjord",1028
"Beiarn",703
"Berg",546
"Bergen",130229
"Berlevåg",571
"Bindal",931
"Birkenes",2207
"Bjarkøy",283
"Bjerkreim",1360
"Bjugn",2071
"Bø",4262
"Bodø",23808
"Bokn",456
"Bømlo",5525
"Bremanger",1923
"Brønnøy",3661
"Bygland",691
"Bykle",507
"Deanu gielda / Tana",1491
"Dønna",748
"Dovre",1356
"Drammen",30357
"Drangedal",2094
"Dyrøy",659
"Eid",3194
"Eide",1674
"Eidfjord",542
"Eidsberg",5032
"Eidskog",3058
"Eidsvoll",9558
"Eigersund",6481
"Elverum",9703
"Enebakk",4791
"Engerdal",846
"Etne",1987
"Etnedal",674
"Evenes",738
"Evje Og Hornnes",1644
"Farsund",4709
"Fauske",4866
"Fedje",393
"Fet",5226
"Finnøy",1575
"Fitjar",1557
"Fjaler",1378
"Fjell",10378
"Flå",613
"Flakstad",644
"Flatanger",619
"Flekkefjord",4394
"Flesberg",1350
"Flora",5496
"Folldal",975
"Førde",5586
"Forsand",644
"Fosnes",326
"Fræna",4090
"Fredrikstad",35852
"Frogn",7864
"Froland",2385
"Frosta",1294
"Frøya",1954
"Fusa",2021
"Fyresdal",722
"Gaivuona suohkan / Kåfjord",1134
"Gamvik",531
"Gaular",1439
"Gausdal",2799
"Gildeskål",1066
"Giske",3388
"Gjemnes",1396
"Gjerdrum",2958
"Gjerstad",1307
"Gjesdal",5153
"Gjøvik",13901
"Gloppen",3049
"Gol",2154
"Gran",6557
"Grane",718
"Granvin",475
"Gratangen",617
"Grimstad",10000
"Grong",1303
"Grue",2335
"Gulen",1331
"Guovdageainnu suohkan / Kautokeino",1534
"Hå",8054
"Hadsel",3876
"Hægebostad",951
"Halden",14125
"Halsa",878
"Hamar",15752
"Hamarøy",908
"Hammerfest",4308
"Haram",4169
"Hareid",2375
"Harstad",11711
"Hasvik",524
"Hattfjelldal",744
"Haugesund",15524
"Hemne",2040
"Hemnes",2515
"Hemsedal",1198
"Herøy",4764
"Hitra",1920
"Hjartdal",908
"Hjelmeland",1430
"Hobøl",2317
"Hof",1541
"Hol",2356
"Hole",3161
"Holmestrand",5018
"Holtålen",1246
"Hornindal",677
"Horten",13137
"Høyanger",2129
"Høylandet",725
"Hurdal",1364
"Hurum",4583
"Hvaler",2401
"Hyllestad",698
"Ibestad",833
"Inderøy",3486
"Iveland",685
"Jevnaker",3209
"Jølster",1546
"Jondal",605
"Karasjoga gielda / Karasjok",1421
"Karlsøy",1143
"Karmøy",18329
"Klæbu",2629
"Klepp",7668
"Kongsberg",12294
"Kongsvinger",7843
"Kragerø",5443
"Kristiansand",38602
"Kristiansund",11280
"Krødsherad",1142
"Kvæfjord",1467
"Kvænangen",654
"Kvalsund",485
"Kvam",4492
"Kvinesdal",3010
"Kvinnherad",6504
"Kviteseid",1205
"Kvitsøy",318
"Lærdal",1204
"Lardal",1319
"Larvik",20514
"Lavangen",621
"Lebesby",550
"Leikanger",1257
"Leirfjord",1017
"Leka",370
"Leksvik",1732
"Lenvik",5030
"Lesja",1165
"Levanger",8876
"Lier",11569
"Lierne",672
"Lillehammer",13095
"Lillesand",4939
"Lindås",7194
"Lindesnes",2386
"Lødingen",1211
"Lom",1195
"Loppa",614
"Lørenskog",16615
"Løten",3495
"Lund",1627
"Lunner",4403
"Lurøy",1089
"Luster",2900
"Lyngdal",3809
"Lyngen",1538
"Målselv",2907
"Malvik",6181
