Response	Submitted_on	Course	Q01_My_Professor	Q02_Gender	Q03_Hand	Q04_Hand_Span	Q05_Left_Hand_Span	Q06_Height	Q07_Age	Q08_Birthday	Q09_Sleeping	Q10_On_campus	Q11_Watching_TV	Q12_Games	Q13_Facebook	Q14_Tattoos	Q15_Twitter	Q16_Political_Orientation	Q17_STAT	Q18_Data	Q19_Famous	Q20_Career	Q21_Death_Penalty	Q22_gays_and_lesbians	Q23_Gays_and_Lesbians_Military	Q24_Greatest_influence	Q25_Greatest_influence_2	Q26_Greatest_influence_3	Q27_Stat_course	Q28_Enrolled_Course
16500	04:40 PM on 09/16/2011	Introduction to Statistical Reasoning	Laura Mustavich	Female	Right	20	20	65	19.75	9	7	1	0	0	no facebook	0	no twitter	Liberal	1	information	Don't know for sure	Not important	no opinion	strongly favor	no opinion	No opinion	Personal Experience	No opinion	Regular Lecures	STAT 10
16503	05:00 PM on 09/17/2011	Introduction to Statistical Reasoning	Laura Mustavich	Female	Right	20	19	62	22	9	8	0	2	1	200	0	0	Moderate	1	gathering of information	Somewhat important	One of the most important things, but not the most important.	favor	oppose	favor	Media	Religious Beliefs	Education	Regular Lecures	STAT 10
16504	08:44 PM on 09/17/2011	Introduction to Statistical Reasoning	Laura Mustavich	Male	Right	21	21	73	19	2	7	1	1	0	234	0	0	Very Liberal	1	Items of information	Don't know for sure	Not important	strongly oppose	strongly favor	strongly favor	Personal Experience	Education	Education	Regular Lecures	STAT 10
16507	11:47 AM on 09/20/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Male	Left	23	23	69	19	One month.	10	0	0	0	860	0	0	Conservative	0	Gathered information	Not important	Very important	strongly favor	oppose	strongly favor	Education	Education	Education	Regular Lecures	STAT 10
16508	04:58 PM on 09/19/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	11	9	60.5	19	3	6	0	0	0	577	0	0	Moderate	0	information	Somewhat important	One of the most important things, but not the most important.	no opinion	strongly favor	strongly favor	Religious Beliefs	Education	Something else	Regular Lecures	STAT 10
16509	01:36 PM on 09/18/2011	Introduction to Statistical Reasoning	Laura Mustavich	Female	Right	19.5	19	65	18	5	9	1	0	0	250	0	0	Conservative	0	statistical information	Not important	Important	favor	no opinion	no opinion	Religious Beliefs	No opinion	No opinion	Regular Lecures	STAT 10
16511	05:38 PM on 09/18/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	15	15	61.7	19	10	8	0	4	0	750	0	0	Moderate	1	information collected	Not important	Important	favor	strongly favor	strongly favor	I don't know	Friends and family	Education	Regular Lecures	STAT 10
16522	09:56 AM on 09/19/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	19.5	20	64	42	11	8	0	3	0	200	0	0	Liberal	1	the plural of datum	Not important	Not important	strongly oppose	favor	favor	Education	Friends and family	Friends and family	Regular Lecures	STAT 10
16529	10:18 AM on 09/19/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	19	19	57	31	1	8	0	6	0	12	0	0	Liberal	1	character in star trek	Don't know for sure	Somewhat important	oppose	strongly favor	favor	Friends and family	Friends and family	Education	Regular Lecures	STAT 10
16530	10:30 AM on 09/19/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	15	13	64	19	4	5	1	3	0	99	0	0	Liberal	1	statistics	Not important	Very important	oppose	strongly favor	strongly favor	Education	Personal Experience	Friends and family	Regular Lecures	STAT 10
16531	10:32 AM on 09/19/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	18.2	18.3	69	19	1	7	1	2	0	40	0	0	Moderate	1	collected information	Important	One of the most important things, but not the most important.	favor	favor	strongly favor	I don't know	I don't know	I don't know	Regular Lecures	STAT 10
16532	10:35 AM on 09/19/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	18	17	63	19	6	5	1	1	0	42	0	0	Liberal	1	information	Not important	Somewhat important	strongly oppose	strongly favor	strongly favor	Something else	Friends and family	Education	Regular Lecures	STAT 10
16533	10:53 AM on 09/19/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	18	17	63	19	6	5	1	1	0	42	0	0	Liberal	1	information	Not important	Somewhat important	strongly oppose	strongly favor	strongly favor	Something else	Friends and family	Education	Regular Lecures	STAT 10
16534	11:00 AM on 09/19/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	19	20	68	19	8	10	0	5	7	99	1	2	Liberal	1	information gathered	Not important	Very important	favor	strongly favor	strongly favor	I don't know	Friends and family	Personal Experience	Regular Lecures	STAT 10
16536	11:34 AM on 09/19/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	15	14	67	19	7	8	0	0	0	?	0	0	Very Liberal	1	information collected	Not important	Important	oppose	strongly favor	strongly favor	I don't know	Friends and family	Friends and family	Regular Lecures	STAT 10
16537	11:41 AM on 09/19/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Male	Right	20	20	73	19	5	10	0	4	0	90	0	0	Liberal	1	individual facts	Somewhat important	Very important	oppose	favor	favor	Religious Beliefs	Education	Education	Regular Lecures	STAT 10
16541	12:41 PM on 09/19/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	19.3	19	62.2	19	0	8	1	0	0	20	0	0	Moderate	1	a unit of information	Not important	Somewhat important	no opinion	favor	favor	I don't know	Friends and family	Media	Regular Lecures	STAT 10
16542	12:56 PM on 09/19/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	20	21	64	20	4	12	1	2	0	5	0	0	Liberal	1	information	Not important	Somewhat important	favor	strongly favor	strongly favor	Education	Education	Education	Regular Lecures	STAT 10
16543	01:50 PM on 09/19/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Male	Right	19	19	69	19	5	10	0	4	0	0	0	0	Moderate	1	Recorded values	Somewhat important	Important	no opinion	oppose	favor	Education	Education	Media	Regular Lecures	STAT 10
16545	02:02 PM on 09/19/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Left	21	22	70	19	6	8	0	1	0	99	0	0	Liberal	1	information	Don't know for sure	Not important	favor	strongly favor	strongly favor	Education	Friends and family	Friends and family	Regular Lecures	STAT 10
16546	02:14 PM on 09/19/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	9	9	77	20	3	9	0	0	0	90	0	0	Moderate	0	numbers, statistics	Not important	One of the most important things, but not the most important.	no opinion	favor	favor	Friends and family	No opinion	No opinion	Regular Lecures	STAT 10
16547	02:15 PM on 09/19/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	18	19	62	20	one month	6	0	1	3	40	zero	none	Liberal	1	collected/ analyzed facts	Not important	Important	no opinion	strongly favor	strongly favor	No opinion	Friends and family	Something else	Regular Lecures	STAT 10
16549	02:41 PM on 09/19/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Male	Right	17.7	17.4	66.5	21	7	8	0	1	0	90	2	1	Liberal	0	Statistics	One of the most important things, but not the most important.	One of the most important things, but not the most important.	favor	favor	favor	Something else	Something else	Something else	Regular Lecures	STAT 10
16551	03:20 PM on 09/19/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Male	Right	19	19	66	19	5	8	0	8	3	45	0	6	Moderate	1	information	Not important	Somewhat important	favor	oppose	favor	Education	Religious Beliefs	Media	Regular Lecures	STAT 10
16555	04:05 PM on 09/19/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	20.3	19.1	62	18	10	7	1	0	1	73	0	0	Moderate	1	information	Don't know for sure	Somewhat important	oppose	oppose	favor	Religious Beliefs	Religious Beliefs	Religious Beliefs	Regular Lecures	STAT 10
16556	04:25 PM on 09/19/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	15	15	62	21	3	7	0	1	0	30	0	0	Moderate	1	Information	Not important	Not important	oppose	oppose	strongly favor	Religious Beliefs	Religious Beliefs	Religious Beliefs	Regular Lecures	STAT 10
16557	04:57 PM on 09/19/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	17	15	67	18	11	7	0	1	0	99	0	0	Conservative	1	Results	Not important	Very important	no opinion	no opinion	no opinion	No opinion	I don't know	I don't know	Regular Lecures	STAT 10
16560	05:53 PM on 09/19/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Male	Right	19	21	66	20	9	5	0	1	0	60	0	0	Moderate	1	information	Important	One of the most important things, but not the most important.	favor	favor	no opinion	Religious Beliefs	No opinion	No opinion	Regular Lecures	STAT 10
16561	06:29 PM on 09/19/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	19.1	19.6	59	18	3	7	1	0	0	70	0	0	Moderate	1	factual information	Not important	Not important	oppose	no opinion	favor	Something else	Religious Beliefs	Something else	Regular Lecures	STAT 10
16563	06:47 PM on 09/19/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	18.5	18.5	75.5	18	10	4	1	1	0	38	0	0	Liberal	1	information	Not important	Important	strongly oppose	strongly favor	strongly favor	Something else	Education	Education	Regular Lecures	STAT 10
16564	07:01 PM on 09/19/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	18.7	19	62	19	11	5	0	4	0	60	0	0	Moderate	0	scientific observations	Not important	Somewhat important	oppose	no opinion	favor	Media	Media	Media	Regular Lecures	STAT 10
16567	07:39 PM on 09/19/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	20	20	69	19	6	8	1	0	0	?	0	0	Moderate	0	information	Not important	One of the most important things, but not the most important.	no opinion	no opinion	favor	Religious Beliefs	Religious Beliefs	Something else	Regular Lecures	STAT 10
16568	07:50 PM on 09/19/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	18	18	59	21	5	8	0	1	0	99	0	0	Moderate	1	a lot of information	Not important	Important	strongly oppose	strongly favor	strongly favor	Religious Beliefs	Religious Beliefs	Something else	Regular Lecures	STAT 10
16569	08:35 PM on 09/19/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	19.8	20.1	64	19	0.3	5	1	0	0	99	0	0	Liberal	1	Items of information	Important	Somewhat important	favor	strongly favor	favor	Friends and family	Friends and family	Friends and family	Regular Lecures	STAT 10
16571	08:56 PM on 09/19/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	20	19.5	65	19	11.5	8	1	0	0	99	2	0	Liberal	1	collection of numbs/figs	Not important	Very important	favor	strongly favor	strongly favor	Education	Education	Education	Regular Lecures	STAT 10
