"city","type","bed","bath","garage","sqft","pool","price"
"Long Beach",NA,0,1,"0",513,"N",119000
"Long Beach",NA,0,1,"0",550,"N",153000
"Long Beach",NA,0,1,"0",550,"N",205000
"Long Beach",NA,0,1,"1",1030,"N",3e+05
"Long Beach",NA,0,1,"1",1526,"N",375000
"Long Beach",NA,1,1,"0",552,"N",159900
"Long Beach",NA,1,1,"0",558,"N",135000
"Long Beach",NA,1,1,"0",596,"N",105000
"Long Beach",NA,1,1,"0",744,"N",167000
"Long Beach",NA,1,1,"0",750,"N",134900
"Long Beach",NA,1,1,"0",750,"N",145000
"Long Beach",NA,1,1,"0",791,"N",219900
"Long Beach",NA,1,1,"0",798,"N",195000
"Long Beach",NA,1,1,"1",671,"N",120000
"Long Beach",NA,1,1,"1",796,"N",179900
"Long Beach",NA,1,1,"1",935,"N",239000
"Long Beach",NA,1,1,"1",1006,"N",360000
"Long Beach",NA,1,1,"1",1431,"N",5e+05
"Long Beach",NA,1,1,"2",926,"N",339000
"Long Beach",NA,1,1,"2",1209,"N",580000
"Long Beach",NA,1,1,"2",1620,"N",419900
"Long Beach",NA,1,1,"2",1924,"N",394900
"Long Beach",NA,1,1,"2",1970,"N",619000
"Long Beach",NA,1,2,"1",1310,"N",359900
"Long Beach",NA,1,2,"1",1450,"N",325000
"Long Beach",NA,1,2,"1",1450,"N",329900
"Long Beach",NA,1,2,"2",1077,"N",325000
"Long Beach",NA,2,1,"0",1133,"N",325000
"Long Beach",NA,2,1,"0",2374,"N",799000
"Long Beach",NA,2,1,"2",1620,"N",418000
"Long Beach",NA,2,1,"2",2019,"N",420000
"Long Beach",NA,2,2,"1",868,"N",240000
"Long Beach",NA,2,2,"1",1050,"N",318800
"Long Beach",NA,2,2,"1",1241,"N",299500
"Long Beach",NA,4,4,"0",3636,"N",349900
"Long Beach",NA,6,3,"0",2554,"N",379900
"Long Beach","Condo/Twh",0,1,"0",462,"N",138900
"Long Beach","Condo/Twh",0,1,"0",475,"N",120000
"Long Beach","Condo/Twh",0,1,"0",527,"N",179000
"Long Beach","Condo/Twh",0,1,"0",702,"N",236900
"Long Beach","Condo/Twh",0,1,"2",650,"N",217900
"Long Beach","Condo/Twh",1,1,"0",403,"N",139950
"Long Beach","Condo/Twh",1,1,"0",426,"N",135000
"Long Beach","Condo/Twh",1,1,"0",560,"N",135000
"Long Beach","Condo/Twh",1,1,"0",561,"N",273500
"Long Beach","Condo/Twh",1,1,"0",590,"N",215000
"Long Beach","Condo/Twh",1,1,"0",590,"N",259900
"Long Beach","Condo/Twh",1,1,"0",597,"N",130000
"Long Beach","Condo/Twh",1,1,"0",599,"N",350000
"Long Beach","Condo/Twh",1,1,"0",600,"N",183900
"Long Beach","Condo/Twh",1,1,"0",617,"N",104990
"Long Beach","Condo/Twh",1,1,"0",628,"N",119000
"Long Beach","Condo/Twh",1,1,"0",628,"N",285000
"Long Beach","Condo/Twh",1,1,"0",631,"N",215000
"Long Beach","Condo/Twh",1,1,"0",633,"N",175000
"Long Beach","Condo/Twh",1,1,"0",635,"N",243000
"Long Beach","Condo/Twh",1,1,"0",664,"N",109000
"Long Beach","Condo/Twh",1,1,"0",667,"N",199900
"Long Beach","Condo/Twh",1,1,"0",667,"N",350000
"Long Beach","Condo/Twh",1,1,"0",670,"N",155900
"Long Beach","Condo/Twh",1,1,"0",680,"N",239000
"Long Beach","Condo/Twh",1,1,"0",693,"N",220000
"Long Beach","Condo/Twh",1,1,"0",693,"N",229900
"Long Beach","Condo/Twh",1,1,"0",693,"N",245000
"Long Beach","Condo/Twh",1,1,"0",700,"N",125000
"Long Beach","Condo/Twh",1,1,"0",707,"N",185000
"Long Beach","Condo/Twh",1,1,"0",710,"N",195000
"Long Beach","Condo/Twh",1,1,"0",739,"N",179000
"Long Beach","Condo/Twh",1,1,"0",741,"N",165000
"Long Beach","Condo/Twh",1,1,"0",745,"N",199900
"Long Beach","Condo/Twh",1,1,"0",745,"N",2e+05
"Long Beach","Condo/Twh",1,1,"0",751,"N",221000
"Long Beach","Condo/Twh",1,1,"0",752,"N",225900
"Long Beach","Condo/Twh",1,1,"0",772,"N",169000
"Long Beach","Condo/Twh",1,1,"0",779,"N",124900
"Long Beach","Condo/Twh",1,1,"0",787,"N",167000
"Long Beach","Condo/Twh",1,1,"0",792,"N",109000
"Long Beach","Condo/Twh",1,1,"0",811,"N",145000
"Long Beach","Condo/Twh",1,1,"0",839,"N",335000
"Long Beach","Condo/Twh",1,1,"0",864,"N",249000
"Long Beach","Condo/Twh",1,1,"0",981,"N",216000
"Long Beach","Condo/Twh",1,1,"0",1069,"N",330000
"Long Beach","Condo/Twh",1,1,"1",530,"N",175000
"Long Beach","Condo/Twh",1,1,"1",540,"N",165000
"Long Beach","Condo/Twh",1,1,"1",590,"N",236900
"Long Beach","Condo/Twh",1,1,"1",592,"N",175000
"Long Beach","Condo/Twh",1,1,"1",597,"N",130000
"Long Beach","Condo/Twh",1,1,"1",597,"N",140000
"Long Beach","Condo/Twh",1,1,"1",597,"N",149900
"Long Beach","Condo/Twh",1,1,"1",597,"N",150000
"Long Beach","Condo/Twh",1,1,"1",600,"N",244900
"Long Beach","Condo/Twh",1,1,"1",600,"N",279900
"Long Beach","Condo/Twh",1,1,"1",600,"N",285000
"Long Beach","Condo/Twh",1,1,"1",600,"N",325000
"Long Beach","Condo/Twh",1,1,"1",607,"N",150000
"Long Beach","Condo/Twh",1,1,"1",613,"N",119000
"Long Beach","Condo/Twh",1,1,"1",632,"N",129000
"Long Beach","Condo/Twh",1,1,"1",660,"N",110000
"Long Beach","Condo/Twh",1,1,"1",660,"N",112900
"Long Beach","Condo/Twh",1,1,"1",661,"N",150000
"Long Beach","Condo/Twh",1,1,"1",672,"N",379995
"Long Beach","Condo/Twh",1,1,"1",680,"N",204900
"Long Beach","Condo/Twh",1,1,"1",680,"N",235000
"Long Beach","Condo/Twh",1,1,"1",680,"N",239000
"Long Beach","Condo/Twh",1,1,"1",680,"N",249000
"Long Beach","Condo/Twh",1,1,"1",680,"N",249900
"Long Beach","Condo/Twh",1,1,"1",680,"N",250000
"Long Beach","Condo/Twh",1,1,"1",681,"N",320000
"Long Beach","Condo/Twh",1,1,"1",683,"N",119000
"Long Beach","Condo/Twh",1,1,"1",686,"N",119500
"Long Beach","Condo/Twh",1,1,"1",686,"N",189000
"Long Beach","Condo/Twh",1,1,"1",687,"N",125000
"Long Beach","Condo/Twh",1,1,"1",693,"N",230000
"Long Beach","Condo/Twh",1,1,"1",693,"N",245000
"Long Beach","Condo/Twh",1,1,"1",698,"N",175000
"Long Beach","Condo/Twh",1,1,"1",703,"N",374000
"Long Beach","Condo/Twh",1,1,"1",707,"N",130000
"Long Beach","Condo/Twh",1,1,"1",719,"N",359000
"Long Beach","Condo/Twh",1,1,"1",732,"N",248900
"Long Beach","Condo/Twh",1,1,"1",739,"N",249500
"Long Beach","Condo/Twh",1,1,"1",741,"N",319990
"Long Beach","Condo/Twh",1,1,"1",754,"N",1e+05
"Long Beach","Condo/Twh",1,1,"1",789,"N",309000
"Long Beach","Condo/Twh",1,1,"1",792,"N",428900
"Long Beach","Condo/Twh",1,1,"1",816,"N",224900
"Long Beach","Condo/Twh",1,1,"1",825,"N",230000
"Long Beach","Condo/Twh",1,1,"1",832,"N",125000
"Long Beach","Condo/Twh",1,1,"1",833,"N",189000
"Long Beach","Condo/Twh",1,1,"1",846,"N",325000
"Long Beach","Condo/Twh",1,1,"1",873,"N",224000
"Long Beach","Condo/Twh",1,1,"1",875,"N",229000
"Long Beach","Condo/Twh",1,1,"1",890,"N",150000
"Long Beach","Condo/Twh",1,1,"1",938,"N",249900
"Long Beach","Condo/Twh",1,1,"1",1000,"N",345000
"Long Beach","Condo/Twh",1,1,"1",1020,"N",279900
"Long Beach","Condo/Twh",1,1,"1",1400,"N",299000
"Long Beach","Condo/Twh",1,1,"2",624,"N",109000
"Long Beach","Condo/Twh",1,1,"2",693,"Y",240000
"Long Beach","Condo/Twh",1,1,"2",736,"N",458000
"Long Beach","Condo/Twh",1,1,"2",750,"N",480000
"Long Beach","Condo/Twh",1,1,"2",793,"N",119900
"Long Beach","Condo/Twh",1,1,"2",926,"N",269000
"Long Beach","Condo/Twh",1,1,"2",926,"N",270000
"Long Beach","Condo/Twh",1,1,"2",926,"N",324000
"Long Beach","Condo/Twh",1,1.5,"0",1620,"N",399900
"Long Beach","Condo/Twh",1,2,"0",880,"N",279000
"Long Beach","Condo/Twh",1,2,"0",950,"N",240000
"Long Beach","Condo/Twh",1,2,"0",952,"N",250000
"Long Beach","Condo/Twh",1,2,"0",1017,"N",279000
"Long Beach","Condo/Twh",1,2,"0",1047,"N",309900
"Long Beach","Condo/Twh",1,2,"1",584,"N",110000
"Long Beach","Condo/Twh",1,2,"1",731,"N",222000
"Long Beach","Condo/Twh",1,2,"1",791,"N",275000
"Long Beach","Condo/Twh",1,2,"1",853,"N",139000
"Long Beach","Condo/Twh",1,2,"1",880,"N",299900
"Long Beach","Condo/Twh",1,2,"2",880,"N",309000
"Long Beach","Condo/Twh",1,2,"2",1044,"N",184900
"Long Beach","Condo/Twh",1,3,"0",1570,"N",325000
"Long Beach","Condo/Twh",2,1,"0",760,"N",199900
"Long Beach","Condo/Twh",2,1,"0",769,"N",199000
"Long Beach","Condo/Twh",2,1,"0",779,"N",250000
"Long Beach","Condo/Twh",2,1,"0",849,"N",185000
"Long Beach","Condo/Twh",2,1,"0",860,"N",159000
"Long Beach","Condo/Twh",2,1,"1",779,"N",109000
"Long Beach","Condo/Twh",2,1,"1",800,"N",119000
"Long Beach","Condo/Twh",2,1,"1",806,"N",179000
"Long Beach","Condo/Twh",2,1,"1",830,"N",174900
"Long Beach","Condo/Twh",2,1,"1",840,"N",350000
"Long Beach","Condo/Twh",2,1,"1",879,"N",205000
"Long Beach","Condo/Twh",2,1,"1",892,"N",150000
"Long Beach","Condo/Twh",2,1,"1",906,"N",195000
"Long Beach","Condo/Twh",2,1,"1",910,"N",297000
"Long Beach","Condo/Twh",2,1,"1",941,"N",285000
"Long Beach","Condo/Twh",2,1,"2",859,"N",199000
"Long Beach","Condo/Twh",2,1,"2",860,"N",225000
"Long Beach","Condo/Twh",2,1,"2",957,"N",348000
"Long Beach","Condo/Twh",2,1,"2",1291,"N",399000
"Long Beach","Condo/Twh",2,2,"0",680,"N",106000
"Long Beach","Condo/Twh",2,2,"0",680,"N",129900
"Long Beach","Condo/Twh",2,2,"0",690,"N",120000
"Long Beach","Condo/Twh",2,2,"0",720,"N",137900
"Long Beach","Condo/Twh",2,2,"0",777,"N",134900
"Long Beach","Condo/Twh",2,2,"0",780,"N",149900
"Long Beach","Condo/Twh",2,2,"0",786,"N",174900
"Long Beach","Condo/Twh",2,2,"0",830,"N",144900
"Long Beach","Condo/Twh",2,2,"0",838,"N",225000
"Long Beach","Condo/Twh",2,2,"0",840,"N",161000
"Long Beach","Condo/Twh",2,2,"0",840,"N",169000
"Long Beach","Condo/Twh",2,2,"0",850,"N",139900
"Long Beach","Condo/Twh",2,2,"0",865,"N",350000
"Long Beach","Condo/Twh",2,2,"0",877,"N",125000
"Long Beach","Condo/Twh",2,2,"0",892,"N",179000
"Long Beach","Condo/Twh",2,2,"0",903,"N",169900
"Long Beach","Condo/Twh",2,2,"0",920,"N",129000
"Long Beach","Condo/Twh",2,2,"0",920,"N",135000
"Long Beach","Condo/Twh",2,2,"0",940,"N",159000
"Long Beach","Condo/Twh",2,2,"0",960,"N",129000
