country,complied,requests,pop,hdi,dem,internet,freepress
argentina,32,134,39134,0.797,flawed,36,51
australia,73,361,20530,0.929,full,76,21
belgium,67,90,10430,0.886,full,79.26,12
brazil,87,703,189323,0.718,flawed,40.65,44
canada,48,50,32577,0.908,full,81.6,19
chile,42,118,16465,0.805,flawed,45,29
france,48,1300,61330,0.884,flawed,80.1,23
germany,67,1060,82641,0.905,full,81.85,17
hong kong,42,123,7067,0.898,hybrid,69.4,32
india,70,1739,1151751,0.547,flawed,7.5,35
israel,60,60,6810,0.888,flawed,67.2,29
italy,60,934,58779,0.874,flawed,53.68,34
japan,87,75,127953,0.901,full,80,21
mexico,42,48,105342,0.77,flawed,31,62
netherlands,48,64,16379,0.91,full,90.72,14
poland,11,266,38140,0.813,flawed,62.32,25
portugal,50,161,10579,0.809,full,51.1,17
russia,0,42,143221,0.755,hybrid,43,81
singapore,75,106,4382,0.866,hybrid,70,68
south korea,37,259,48050,0.897,full,83.7,32
spain,63,460,43887,0.878,full,66.53,23
switzerland,69,36,7455,0.903,full,83.9,13
taiwan,81,155,22974,0.868,flawed,71.5,25
turkey,0,73,73922,0.699,hybrid,39.82,54
united kingdom,64,1273,60512,0.863,full,85,19
united states,93,5950,302841,0.91,full,79,17
