country,complied,requests,pop,hdi,dem,dem_cat,internet,freepress,freepress_cat
argentina,32,134,39134,0.797,6.84,flawed,36,51,partly
australia,73,361,20530,0.929,9.22,full,76,21,free
belgium,67,90,10430,0.886,8.05,full,79.26,12,free
brazil,87,703,189323,0.718,7.12,flawed,40.65,44,partly
canada,48,50,32577,0.908,9.08,full,81.6,19,free
chile,42,118,16465,0.805,7.67,flawed,45,29,free
france,48,1300,61330,0.884,7.77,flawed,80.1,23,free
germany,67,1060,82641,0.905,8.38,full,81.85,17,free
hong kong,42,123,7067,0.898,5.92,hybrid,69.4,32,partly
india,70,1739,1151751,0.547,7.28,flawed,7.5,35,partly
israel,60,60,6810,0.888,7.48,flawed,67.2,29,free
italy,60,934,58779,0.874,7.83,flawed,53.68,34,partly
japan,87,75,127953,0.901,8.08,full,80,21,free
mexico,42,48,105342,0.77,6.93,flawed,31,62,not
netherlands,48,64,16379,0.91,8.99,full,90.72,14,free
poland,11,266,38140,0.813,7.05,flawed,62.32,25,free
portugal,50,161,10579,0.809,8.02,full,51.1,17,free
russia,0,42,143221,0.755,4.26,hybrid,43,81,not
singapore,75,106,4382,0.866,5.89,hybrid,70,68,not
south korea,37,259,48050,0.897,8.11,full,83.7,32,partly
spain,63,460,43887,0.878,8.16,full,66.53,23,free
switzerland,69,36,7455,0.903,9.09,full,83.9,13,free
taiwan,81,155,22974,0.868,7.52,flawed,71.5,25,free
turkey,0,73,73922,0.699,5.73,hybrid,39.82,54,partly
united kingdom,64,1273,60512,0.863,8.16,full,85,19,free
united states,93,5950,302841,0.91,8.18,full,79,17,free
