"team","runs","on_base","slugging","ob_slg"
"NY Yankees",915,0.36,0.48,0.84
"LA Angels",883,0.35,0.44,0.79
"Boston",872,0.35,0.45,0.81
"Philadelphia",820,0.33,0.45,0.78
"Minnesota",817,0.35,0.43,0.77
"Colorado",804,0.34,0.44,0.78
"Tampa Bay",803,0.34,0.44,0.78
"Toronto",798,0.33,0.44,0.77
"Milwaukee",785,0.34,0.43,0.77
"Texas",784,0.32,0.45,0.76
"LA Dodgers",780,0.35,0.41,0.76
"Cleveland",773,0.34,0.42,0.76
"Florida",772,0.34,0.42,0.76
"Oakland",759,0.33,0.4,0.73
"Detroit",743,0.33,0.42,0.75
"Baltimore",741,0.33,0.42,0.75
"Atlanta",735,0.34,0.41,0.74
"St. Louis",730,0.33,0.42,0.75
"Chicago Sox",724,0.33,0.41,0.74
"Arizona",720,0.32,0.42,0.74
"Washington",710,0.34,0.41,0.74
"Chicago Cubs",707,0.33,0.41,0.74
"Kansas City",686,0.32,0.41,0.72
"Cincinnati",673,0.32,0.39,0.71
"NY Mets",671,0.34,0.39,0.73
"San Francisco",657,0.31,0.39,0.7
"Houston",643,0.32,0.4,0.72
"Seattle",640,0.31,0.4,0.72
"San Diego",638,0.32,0.38,0.7
"Pittsburgh",636,0.32,0.39,0.71
